Config	Stations	Baselines
H75	W104 N2 N5 W106 W109 W392	31,31,43,46,55,77,77,82,89,4332,4378,4378,4378,4408
H168	W100 N11 N7 W104 W111 W392	61,61,107,111,132,141,168,171,185,192,4301,4379,4381,4408,4469
H214	W98 N5 N14 W104 W113 W392	82,92,132,138,138,144,216,230,240,247,4270,4378,4383,4408,4500
122A	W0 W2 W4 W6 W8 W392	31,31,31,31,61,61,61,92,92,122,5877,5908,5939,5969,6000
122B	W8 W10 W12 W14 W16 W392	31,31,31,31,61,61,61,92,92,122,5755,5786,5816,5847,5878
SPLIT	W64 W102 W104 W106 W190 W392	31,31,61,583,612,643,1286,1316,1347,1929,3092,4378,4408,4439,5020
WBCOR	W98 W102 W104 W106 W112 W392	31,31,61,61,92,92,122,122,153,214,4286,4378,4408,4439,4500
EW214	W98 W102 W104 W109 W112 W392	31,46,61,77,92,107,122,153,168,214,4286,4332,4408,4439,4500
EW352	W102 W104 W109 W112 W125 W392	31,46,77,107,122,153,199,245,321,352,4087,4286,4332,4408,4438
EW367	W104 W110 W113 W124 W128 W392	46,61,92,138,168,214,230,276,306,367,4041,4102,4270,4316,4408
750A	W147 W163 W172 W190 W195 W392	77,138,245,276,352,383,413,490,658,735,3015,3092,3367,3505,3750
750B	W98 W109 W113 W140 W148 W392	61,122,168,230,413,474,536,597,643,765,3735,3857,4270,4332,4500
750C	W64 W84 W100 W110 W113 W392	46,153,199,245,306,398,444,551,704,750,4270,4316,4469,4714,5020
750D	W100 W102 W128 W140 W147 W392	31,107,184,291,398,429,582,612,689,719,3750,3857,4041,4439,4469
1.5A	W100 W110 W147 W168 W196 W392	153,321,429,566,719,750,888,1041,1316,1469,3000,3429,3750,4316,4469
1.5B	W111 W113 W163 W182 W195 W392	31,199,291,490,765,796,1056,1087,1255,1286,3015,3214,3505,4270,4301
1.5C	W98 W128 W173 W190 W195 W392	77,260,337,459,689,949,1026,1148,1408,1485,3015,3092,3352,4041,4500
1.5D	W102 W109 W140 W182 W196 W392	107,214,474,582,643,857,1117,1224,1332,1439,3000,3214,3857,4332,4439
6A	W4 W45 W102 W173 W195 W392	337,628,872,1087,1432,1500,1959,2296,2587,2923,3015,3352,4439,5311,5939
6B	W2 W64 W147 W182 W196 W392	214,536,750,949,1270,1806,2020,2219,2755,2969,3000,3214,3750,5020,5969
6C	W0 W10 W113 W140 W182 W392	153,413,643,1056,1577,1730,1990,2143,2633,2786,3214,3857,4270,5847,6000
6D	W8 W32 W84 W168 W173 W392	77,367,796,1163,1286,1362,2082,2158,2449,2525,3352,3429,4714,5510,5878
